disciplina;materia;dificuldade;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta_correta;justificativa;dica;formula
Direito Civil;Direito de Família;Médio;Em Recurso Extraordinário julgado pelo Supremo Tribunal Federal (STF), apreciou-se a constitucionalidade do Art. 1.641 do Código Civil, que prevê a obrigatoriedade do regime de separação de bens no casamento de pessoa maior de 70 (setenta) anos. Ao decidir a questão, o STF interpretou, conforme a CRFB/88, o dispositivo e fixou a seguinte tese de julgamento: Nos casamentos e uniões estáveis envolvendo pessoa maior de 70 anos, o regime de separação de bens previsto no Art. 1641, inciso II, do Código Civil, pode ser afastado por expressa manifestação da vontade das partes, mediante escritura pública. Em relação ao tema, analise as assertivas a seguir. I. O princípio da igualdade restringe a utilização do fator idade para desequiparar pessoas, salvo se demonstrado que se trata de fundamento razoável para realização de um fim legítimo. II. O princípio da dignidade humana inclui, em seu conteúdo, o valor intrínseco de toda pessoa e a autonomia para realizar suas próprias escolhas existenciais. III. O regime de separação de bens do Art. 1.641, inciso II, do Código Civil, aplica-se tanto ao casamento quanto à união estável, mas somente o casamento forma entidade familiar. Está correto o que se afirma em;I, apenas.;II, apenas.;I e II, apenas.;II e III, apenas.;I, II e III.;c;As assertivas I e II estão corretas. A III está incorreta porque a união estável também forma entidade familiar, conforme art. 226, §3º, da CF.;A união estável é reconhecida como entidade familiar pela CF.;Não se aplica.
Direito do Trabalho;Estabilidade e Garantia de Emprego;Médio;Acerca da proteção contra a dispensa imotivada ou despedida arbitrária, nos termos da CRFB/88, da jurisprudência sumulada do TST e da legislação em vigor, assinale a afirmativa correta.;A garantia de emprego assegurada ao empregado eleito para cargo de direção de comissões internas de prevenção de acidentes, representante dos empregados, está restrita ao membro titular.;A CRFB/88 veda a despedida arbitrária da empregada gestante desde a confirmação da gravidez até cinco meses após o parto, bem como a do empregado eleito para o cargo de direção de comissões internas de prevenção de acidentes, desde o registro da candidatura até um ano após o final do mandato.;A garantia contra a despedida arbitrária da empregada gestante é personalíssima, não admitindo extensão do direito a quem detiver a guarda da criança em caso de falecimento da genitora.;A previsão constitucional relacionada à despedida arbitrária está restrita às hipóteses de empregada gestante e de empregados eleitos pelos empregados e indicados pelos empregadores para o cargo de direção de comissão interna de prevenção de acidentes.;Não terá garantia no emprego contra a despedida arbitrária o empregado eleito como representante dos empregados em empresas com mais de 200 empregados, com a finalidade exclusiva de promover-lhes o entendimento direto com os empregadores, por depender de regulamentação.;b;A CF prevê a estabilidade da gestante da confirmação da gravidez até 5 meses após o parto, e do cipeiro desde o registro da candidatura até 1 ano após o final do mandato.;A estabilidade do cipeiro está na CLT, art. 165, e é constitucionalmente reconhecida.;Não se aplica.
Direito do Trabalho;Direitos Constitucionais do Trabalhador;Fácil;No capítulo dos Direitos Sociais, a CRFB/88, em seu Art. 7º, elenca os direitos dos trabalhadores urbanos e rurais. Dos direitos previstos, indique aquele que até o presente momento não foi regulamentado e, assim, não pode ser exercido pelos trabalhadores brasileiros.;Aviso prévio proporcional ao tempo de serviço.;Adicional de remuneração para as atividades penosas.;Proibição de trabalho noturno a menores de dezoito anos.;Seguro contra acidentes de trabalho, a cargo do empregador.;Salário-família pago em razão do dependente do trabalhador de baixa renda.;b;O adicional de remuneração para atividades penosas ainda não foi regulamentado, ao contrário dos demais que já possuem lei específica.;O adicional de penosidade é previsto na CF, mas não foi regulamentado, enquanto o adicional de insalubridade e periculosidade são regulamentados.;Não se aplica.
Direito Penal;Princípio da Presunção de Inocência;Médio;A respeito do princípio da presunção de inocência, analise as afirmativas a seguir. I. O Supremo Tribunal Federal reconheceu a repercussão geral da matéria atinente à possibilidade de execução imediata de pena aplicada pelo Tribunal do Júri, ainda que a sentença condenatória proferida não tenha transitado em julgado. II. Segundo assentado na jurisprudência do Supremo Tribunal Federal, a presunção de inocência impõe que a decretação de prisão cautelar se baseie em elementos concretos extraídos dos autos, não sendo possível a vedação de liberdade provisória ex lege. III. Tendo em vista que os recursos especial e extraordinário não possuem efeito suspensivo, a pena imposta em acórdãos proferidos por tribunais de 2º grau pode ser executada imediatamente, desde que efetuada a detração da prisão cautelar anteriormente imposta. Está correto o que se afirma em;I, apenas.;II, apenas.;III, apenas.;I e II, apenas.;II e III, apenas.;b;A afirmativa II está correta, pois o STF entende que a prisão cautelar deve ser fundamentada em elementos concretos. A I está incorreta porque o STF, no HC 126.292, admitiu a execução da pena após condenação em segunda instância, mas com ressalvas. A III está incorreta porque a execução da pena após segunda instância não depende apenas da detração.;O STF, no HC 126.292, permitiu a execução da pena após condenação em segunda instância, mas com discussões sobre a presunção de inocência.;Não se aplica.
Direito Penal;Prisão em Flagrante;Médio;João da Silva vai à agência bancária obter o levantamento de conta de FGTS de terceiro, usando documento falso. Desconfiado da veracidade do documento, o gerente da agência pede a João que retorne em algumas horas, quando o dinheiro já estará disponível em sua conta. João retorna no horário combinado e, no momento em que efetua o saque, é preso por policiais militares acionados pelo gerente da agência após proceder à checagem da autenticidade do referido documento e confirmar sua falsidade. Considerando essa narrativa, assinale a afirmativa correta.;A prisão em flagrante é ilegal, pois se trata de flagrante provocado.;A prisão em flagrante é legal, pois se trata de ação controlada.;A prisão em flagrante é legal, pois se trata de flagrante diferido.;A prisão em flagrante é legal, pois se trata de flagrante preparado.;A prisão em flagrante é legal, pois se trata de flagrante esperado.;b;A ação controlada é técnica investigatória que não vicia o flagrante, desde que não haja indução à prática do crime. O gerente apenas verificou a falsidade e permitiu que o crime se consumasse para prender em flagrante.;"Flagrante provocado é quando há indução; ação controlada é quando se monitora sem induzir.";Não se aplica.
Direito Processual Penal;Prova Ilícita;Médio;A respeito da garantia constitucional da inadmissibilidade das provas obtidas por meios ilícitos no processo, analise as afirmativas a seguir. I. São lícitas as sucessivas renovações de interceptação telefônica, desde que verificados os requisitos do Art. 2º da Lei nº 9.296/1996 e demonstrada a necessidade da medida diante de elementos concretos e da complexidade da investigação. As decisões judiciais que autorizam a interceptação e suas prorrogações devem ser devidamente motivadas, com justificativa legítima, ainda que sucinta, a embasar a continuidade das investigações. II. De acordo com a jurisprudência do Supremo Tribunal Federal, o juiz que conhecer do conteúdo da prova declarada inadmissível não poderá proferir a sentença ou o acórdão. III. As provas derivadas das ilícitas não serão admitidas no processo, salvo quando não evidenciado o nexo de causalidade, quando puderem ser obtidas por fonte independente ou quando forem produzidas comprovadamente de boa-fé. Está correto o que se afirma em;I, apenas.;II, apenas.;I e II, apenas.;I e III, apenas.;II e III, apenas.;d;A afirmativa I está correta, pois a interceptação pode ser renovada se presentes os requisitos. A III está correta, pois as provas derivadas são inadmissíveis, salvo as exceções. A II está incorreta, pois o juiz que conheceu da prova ilícita pode proferir decisão, desde que não a utilize.;A teoria dos frutos da árvore envenenada admite exceções.;Não se aplica.
Direito Administrativo;Poder de Polícia;Médio;Um determinado Município instituiu empresa pública, em regime não concorrencial, mediante autorização legislativa, para exercer poder de polícia de trânsito, inclusive quanto à aplicação de multas. De acordo com a jurisprudência do STF a respeito do poder de polícia administrativa, assinale a afirmativa correta.;A lei autorizadora é compatível com a ordem constitucional vigente, embora não seja possível a extensão dos privilégios da Fazenda Pública à empresa pública criada, tal como a concessão de imunidade tributária recíproca.;A lei autorizadora não é compatível com a ordem constitucional vigente, pois há absoluta incompatibilidade entre o regime celetista existente nas estatais prestadoras de serviço público em regime de monopólio e o exercício de atividade de polícia administrativa pelos seus empregados.;A lei autorizadora é compatível com a ordem constitucional vigente, com exceção da possibilidade de aplicação de sanção, que não pode ser delegada à empresa pública que atua em regime de Direito Privado.;A lei autorizadora é compatível com a ordem constitucional vigente, que admite a delegação do poder de polícia administrativa a pessoas jurídicas de direito privado integrantes da Administração Pública indireta e prestadoras de serviço público, em regime não concorrencial.;A lei autorizadora não é compatível com a ordem constitucional vigente, uma vez que as estatais prestadoras de serviço público de atuação própria do Estado não podem fazer uso do atributo da coercibilidade inerente ao exercício do poder de polícia, mesmo que atuem em regime não concorrencial.;d;O STF admite a delegação do poder de polícia a empresas públicas e sociedades de economia mista prestadoras de serviço público, desde que em regime não concorrencial.;A delegação de poder de polícia a entidades da administração indireta é possível.;Não se aplica.
Direito Administrativo;Contratos de Concessão;Difícil;"O Supremo Tribunal Federal julgou, em 2022, a Ação Direta de Inconstitucionalidade 2946, proposta em relação ao Art. 27 da Lei nº 8987/1995, in verbis: Art. 27. A transferência de concessão ou do controle societário da concessionária sem prévia anuência do poder concedente implicará a caducidade da concessão. § 1o Para fins de obtenção da anuência de que trata o caput deste artigo, o pretendente deverá: I - atender às exigências de capacidade técnica, idoneidade financeira e regularidade jurídica e fiscal necessárias à assunção do serviço; e II - comprometer-se a cumprir todas as cláusulas do contrato em vigor.” Discutia-se se este artigo é compatível com o Art. 175 da Constituição Federal, a seguir. “Art. 175. Incumbe ao Poder Público, na forma da lei, diretamente ou sob regime de concessão ou permissão, sempre através de licitação, a prestação de serviços públicos. Parágrafo único. A lei disporá sobre: I - o regime das empresas concessionárias e permissionárias de serviços públicos, o caráter especial de seu contrato e de sua prorrogação, bem como as condições de caducidade, fiscalização e rescisão da concessão ou permissão; II - os direitos dos usuários; III - política tarifária; IV - a obrigação de manter serviço adequado. No voto do relator, que obteve a adesão da maioria do STF, lê-se o seguinte: É a proposta mais vantajosa que, prima facie, vincula a Administração. Mantidos seus termos, não se pode afirmar que a modificação do particular contratado implica, automática e necessariamente, burla à regra da obrigatoriedade de licitação ou ofensa aos princípios constitucionais correlatos, mormente nos casos de concessão, dada a natureza incompleta e dinâmica desses contratos e a necessidade de se zelar pela continuidade da prestação adequada dos serviços públicos. Assinale a opção que traduz a ideia expressa pelo Tribunal no trecho destacado.";Contratos de concessão têm natureza incompleta, dinâmica, especial, personalíssima e contínua.;A transferência de concessão é viável se houver continuidade da prestação adequada dos serviços públicos, mas deve ser feita sempre por meio de licitação.;Na concessão, o principal para a Administração Pública é a manutenção das condições contratuais obtidas na licitação e a continuidade adequada dos serviços, e não o interesse da concessionária vencedora.;A competência do poder concedente para anuir com a transferência da concessão está sujeita a caducidade, salvo se os termos da proposta mais vantajosa na licitação não tiverem sido mantidos.;Em virtude do princípio da continuidade dos serviços públicos, a Administração Pública deve necessariamente rescindir a concessão se a concessionária não tiver condições de manter a prestação adequada.;c;O STF entende que a transferência da concessão não fere a licitação se mantidas as condições originais e a continuidade do serviço, pois o contrato de concessão é dinâmico e a continuidade é essencial.;A essência da concessão é a continuidade do serviço público.;Não se aplica.
Direito Administrativo;Lei Anticorrupção (Lei 12.846/2013);Médio;Há uma década, foi editada lei que pretende resguardar as várias administrações contra atos que possam ser qualificados como “de corrupção”. Trata-se da Lei nº 12.846, de agosto de 2013, que objetiva proteger tanto administrações públicas nacionais quanto estrangeiras em face de atos praticados por pessoas jurídicas que atentem contra os seus respectivos patrimônios, ou que comprometam princípios, entre outras situações. Sobre a legislação mencionada, assinale a afirmativa correta.;Sempre que a pessoa jurídica for responsabilizada, os seus dirigentes ou administradores o serão de forma objetiva.;A responsabilização da pessoa jurídica exclui a responsabilidade individual de seus dirigentes ou administradores.;As pessoas jurídicas serão responsabilizadas objetivamente, nos âmbitos administrativo e civil, pelos atos previstos na mencionada lei.;A pessoa jurídica apenas poderá ser responsabilizada se houver a responsabilização individual de seus dirigentes ou administradores.;Caso haja fusão ou incorporação da empresa, a responsabilidade da sucessora continuará ampla e gerará a responsabilidade direta dos seus dirigentes ou administradores objetivamente.;c;A Lei Anticorrupção estabelece responsabilidade objetiva da pessoa jurídica nos âmbitos administrativo e civil, independentemente da responsabilidade individual.;A responsabilidade da pessoa jurídica é objetiva, ou seja, não depende de dolo ou culpa.;Não se aplica.
Direito Administrativo;Responsabilidade Civil do Estado;Médio;Caio adquire específico imóvel, para fins empresariais, situado no meio da Rua Júlio Cesar, no Município WXZ. A referida rua possui um grande movimento, o que potencializa os atos mercantis que passou a realizar em seu imóvel, por meio da sociedade empresária que criou. Passados três anos, sua atividade empresarial está obtendo um alto ganho financeiro. Neste momento, a Administração Pública Municipal, diante da necessidade de realizar uma obra emergencial, procede à ocupação temporária da área, fechando a entrada e a saída dos transeuntes, salvo os residentes. Essa situação perdura por oito meses e acarreta o estado de inviabilidade financeira para o estabelecimento empresarial de Caio. Sobre essa situação, assinale a opção que melhor reflete o direito que a empresa criada por Caio teria em face do Poder Público municipal, segundo as regras brasileiras.;A sociedade empresária apenas terá direito a ser indenizada se o tempo de realização da obra tiver ficado acima da média temporal para obras como a realizada, ciente de ser uma responsabilidade de natureza subjetiva.;A sociedade empresária apenas terá direito a ser ressarcida se comprovar que o Município foi levado a realizar as obras por conta de uma situação emergencial cuja causa tenha ligação direta com uma conduta do próprio Município.;O direito da sociedade empresária se restringir-se-á ao não pagamento de eventuais tributos municipais incidentes, pois a edilidade teria dado causa ao esvaziamento de sua atividade, não podendo cobrar tributos diante dessa situação.;A sociedade empresária teria direito a ser ressarcida pelo atingimento econômico de suas atividades, de forma objetiva, pois a conduta do Município teve direta relação com a inviabilidade de bem prestar suas atividades empresariais.;A sociedade empresária não terá direito a ser ressarcida pelo atingimento econômico de suas atividades, pois a situação ocorrida está dentro de um risco negocial, sendo previsível que o poder público possa ser levado à realização de obras que venham a interferir na circulação de vias públicas.;d;O Estado é responsável objetivamente por danos causados por atos lícitos ou ilícitos. No caso, a obra pública causou dano econômico à empresa, cabendo indenização.;A responsabilidade do Estado é objetiva, baseada na teoria do risco administrativo.;Não se aplica.
